epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3122.71,0.95737,0.40743,0.9431,0.99807,0.99726,0.99465,0.73117,0.92306,0.35546,0.92716,0.000462281,0.000462281,0.000462281
43,3180.6,0.95927,0.40705,0.93499,0.99778,0.99726,0.99464,0.72798,0.91098,0.35318,0.92291,0.000438703,0.000438703,0.000438703
44,3239.77,0.97172,0.40708,0.94894,0.99711,0.99671,0.99474,0.73335,0.90573,0.34795,0.92295,0.000415124,0.000415124,0.000415124
45,3298.94,0.95326,0.39993,0.93988,0.99776,0.99635,0.99482,0.73387,0.90677,0.34962,0.92484,0.000391546,0.000391546,0.000391546
46,3357.92,0.94872,0.39126,0.92518,0.99826,0.99643,0.99494,0.73718,0.90896,0.34663,0.92716,0.000367967,0.000367967,0.000367967
47,3416.77,0.97704,0.40195,0.94285,0.99872,0.99638,0.99499,0.73567,0.90818,0.34899,0.92666,0.000344389,0.000344389,0.000344389
48,3476.75,0.96279,0.39742,0.94226,0.99797,0.99663,0.99499,0.73252,0.91031,0.35256,0.92436,0.00032081,0.00032081,0.00032081
49,3534.29,0.93835,0.38212,0.91952,0.9977,0.99663,0.99499,0.73363,0.91146,0.34835,0.92401,0.000297232,0.000297232,0.000297232
50,3591.69,0.96538,0.39418,0.94638,0.99782,0.9967,0.99499,0.73362,0.90812,0.34461,0.9233,0.000273654,0.000273654,0.000273654
51,3650.23,0.9552,0.40007,0.96216,0.99797,0.99726,0.99497,0.73631,0.90746,0.34338,0.9236,0.000250075,0.000250075,0.000250075
52,3708.37,0.95302,0.39573,0.94218,0.99863,0.99726,0.99493,0.73068,0.91119,0.35156,0.92533,0.000226497,0.000226497,0.000226497
53,3764.27,0.93242,0.38281,0.94699,0.99863,0.99726,0.99495,0.72983,0.91524,0.35409,0.92645,0.000202918,0.000202918,0.000202918
54,3821.15,0.94329,0.38843,0.94248,0.99866,0.99726,0.99495,0.72571,0.92154,0.35269,0.92871,0.00017934,0.00017934,0.00017934
55,3886.98,0.9319,0.38155,0.93757,0.99872,0.99726,0.99487,0.72093,0.92451,0.34751,0.92888,0.000155761,0.000155761,0.000155761
56,3988.35,0.94419,0.38307,0.93985,0.99829,0.99726,0.99498,0.72256,0.92287,0.33719,0.92686,0.000132183,0.000132183,0.000132183
57,4045.05,0.93606,0.37963,0.9507,0.99811,0.99726,0.995,0.72341,0.9184,0.33293,0.92549,0.000108604,0.000108604,0.000108604
58,4102.25,0.93514,0.37243,0.93848,0.99803,0.99726,0.995,0.72281,0.91503,0.33225,0.92446,8.50255e-05,8.50255e-05,8.50255e-05
59,4158.92,0.92295,0.37044,0.94691,0.99812,0.99726,0.995,0.71984,0.91361,0.33195,0.92461,6.1447e-05,6.1447e-05,6.1447e-05
60,4216.27,0.93237,0.37141,0.92642,0.9983,0.99726,0.995,0.72054,0.91275,0.33267,0.92463,3.78685e-05,3.78685e-05,3.78685e-05
